brand,model,year,price,mileage,fuel_type,transmission,engine_size,color,url,description
Bmw,128i,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2015,2015 Bmw 128i in excellent condition.
Bmw,128i,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2016,2016 Bmw 128i in excellent condition.
Bmw,128i,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2017,2017 Bmw 128i in excellent condition.
Bmw,128i,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2018,2018 Bmw 128i in excellent condition.
Bmw,128i,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2019,2019 Bmw 128i in excellent condition.
Bmw,128i,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2020,2020 Bmw 128i in excellent condition.
Bmw,128i,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2021,2021 Bmw 128i in excellent condition.
Bmw,128i,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2022,2022 Bmw 128i in excellent condition.
Bmw,128i,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2023,2023 Bmw 128i in excellent condition.
Bmw,128i,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/128i-2024,2024 Bmw 128i in excellent condition.
Bmw,135i,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2015,2015 Bmw 135i in excellent condition.
Bmw,135i,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2016,2016 Bmw 135i in excellent condition.
Bmw,135i,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2017,2017 Bmw 135i in excellent condition.
Bmw,135i,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2018,2018 Bmw 135i in excellent condition.
Bmw,135i,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2019,2019 Bmw 135i in excellent condition.
Bmw,135i,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2020,2020 Bmw 135i in excellent condition.
Bmw,135i,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2021,2021 Bmw 135i in excellent condition.
Bmw,135i,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2022,2022 Bmw 135i in excellent condition.
Bmw,135i,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2023,2023 Bmw 135i in excellent condition.
Bmw,135i,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/135i-2024,2024 Bmw 135i in excellent condition.
Bmw,328i,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2015,2015 Bmw 328i in excellent condition.
Bmw,328i,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2016,2016 Bmw 328i in excellent condition.
Bmw,328i,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2017,2017 Bmw 328i in excellent condition.
Bmw,328i,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2018,2018 Bmw 328i in excellent condition.
Bmw,328i,2019,"$23,000","55,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2019,2019 Bmw 328i in excellent condition.
Bmw,328i,2020,"$25,000","45,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2020,2020 Bmw 328i in excellent condition.
Bmw,328i,2021,"$27,000","35,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2021,2021 Bmw 328i in excellent condition.
Bmw,328i,2022,"$29,000","25,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2022,2022 Bmw 328i in excellent condition.
Bmw,328i,2023,"$31,000","15,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2023,2023 Bmw 328i in excellent condition.
Bmw,328i,2024,"$33,000","5,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/328i-2024,2024 Bmw 328i in excellent condition.
Bmw,M3,2015,"$15,000","95,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2015,2015 Bmw M3 in excellent condition.
Bmw,M3,2016,"$17,000","85,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2016,2016 Bmw M3 in excellent condition.
Bmw,M3,2017,"$19,000","75,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2017,2017 Bmw M3 in excellent condition.
Bmw,M3,2018,"$21,000","65,000 km",Gasoline,Automatic,2.0L,White,https://example.com/cars/bmw/m3-2018,2018 Bmw M3 in excellent condition.
